epoch,step,train_loss,val_loss
0,49,,0.49160733819007874
0,49,0.9006340503692627,
1,99,,0.47409069538116455
1,99,0.6920256614685059,
2,149,,0.5834062099456787
2,149,0.6294618248939514,
3,199,,0.44701191782951355
3,199,0.5153367519378662,
4,249,,0.3517771363258362
4,249,0.4216212034225464,
5,299,,0.17816032469272614
5,299,0.3387923836708069,
6,349,,-0.08379586786031723
6,349,0.23263855278491974,
7,399,,-0.15865902602672577
7,399,0.10436835139989853,
8,449,,-0.316560834646225
8,449,0.09778765588998795,
9,499,,-0.38632363080978394
9,499,0.0071551138535141945,
10,549,,0.08116408437490463
10,549,-0.038804084062576294,
11,599,,-0.3815626800060272
11,599,-0.03845905140042305,
12,649,,-0.28346526622772217
12,649,0.015849031507968903,
13,699,,0.08878438919782639
13,699,0.039534904062747955,
14,749,,-0.20295540988445282
14,749,0.05210501700639725,
15,799,,-0.26356562972068787
15,799,-0.09914998710155487,
16,849,,-0.522075891494751
16,849,-0.18085423111915588,
17,899,,-0.5731427073478699
17,899,-0.06131080538034439,
18,949,,-0.42642343044281006
18,949,-0.09956271946430206,
19,999,,0.08434607088565826
19,999,0.03776097297668457,
20,1049,,-0.38269269466400146
20,1049,-0.059110499918460846,
21,1099,,-0.2941742241382599
21,1099,-0.08088763058185577,
22,1149,,0.18691125512123108
22,1149,0.021808519959449768,
23,1199,,-0.543968141078949
23,1199,-0.03361756354570389,
24,1249,,-0.507361650466919
24,1249,-0.07862328737974167,
25,1299,,-0.513826847076416
25,1299,-0.2178296446800232,
26,1349,,-0.5164573192596436
26,1349,-0.0671023279428482,
27,1399,,-0.21898001432418823
27,1399,-0.21448399126529694,
28,1449,,-0.5589438080787659
28,1449,-0.2002583146095276,
29,1499,,-0.10391048341989517
29,1499,-0.2552935481071472,
30,1549,,-0.533799946308136
30,1549,-0.25261104106903076,
31,1599,,-0.6113220453262329
31,1599,-0.3198355734348297,
32,1649,,-0.7128031253814697
32,1649,-0.318042129278183,
33,1699,,-0.6847097873687744
33,1699,-0.3337601125240326,
34,1749,,-0.7388346791267395
34,1749,-0.32807713747024536,
35,1799,,-0.7360308766365051
35,1799,-0.36357924342155457,
36,1849,,-0.71711266040802
36,1849,-0.34962740540504456,
37,1899,,-0.09481224417686462
37,1899,-0.2887725532054901,
38,1949,,-0.3082546293735504
38,1949,-0.22452127933502197,
39,1999,,-0.30865177512168884
39,1999,-0.22423891723155975,
40,2049,,-0.797286331653595
40,2049,-0.4174340069293976,
41,2099,,-0.2713995575904846
41,2099,-0.3364740014076233,
42,2149,,-0.6398350596427917
42,2149,-0.35751229524612427,
43,2199,,-0.6950609683990479
43,2199,-0.3505719006061554,
44,2249,,-0.5085023045539856
44,2249,-0.3500714898109436,
45,2299,,-0.6010832190513611
45,2299,-0.3014872372150421,
46,2349,,-0.4417971074581146
46,2349,-0.30836763978004456,
47,2399,,-0.5604463815689087
47,2399,-0.3351954221725464,
48,2449,,-0.45697224140167236
48,2449,-0.34159088134765625,
49,2499,,-0.40329915285110474
49,2499,-0.3377414047718048,
